# source /gauss9/home/cityu/chefan/scratch/run/lammps/calc/DPA/3.1/DPA1_7ele_cry260226/straining/20_20_40/300K/nose_hoover/sxx_0_syy_0_szz_5.0e9_sxy_0_sxz_0_syz_0/Ni/fcc_100/stress_info.dat
# axis z
# fit_points 5
# l0 42.33549420022785
# strain stress
6.6744294127e-02 7.7562368028e+00
6.7811571971e-02 7.7515090141e+00
6.8879917627e-02 7.8447538072e+00
6.9949332162e-02 7.7966066494e+00
7.1019816648e-02 7.8020028577e+00
7.2091372153e-02 7.9886292358e+00
7.3163999749e-02 8.1636471128e+00
7.4237700510e-02 8.2798530641e+00
7.5312475508e-02 8.5823574395e+00
7.6388325819e-02 8.7926032975e+00
7.7465252519e-02 8.9388287550e+00
7.8543256684e-02 9.2865781945e+00
7.9622339392e-02 9.5151880996e+00
8.0702501722e-02 9.6998174120e+00
8.1783744755e-02 9.8004457580e+00
8.2866069572e-02 9.8514957436e+00
8.3949477256e-02 9.8742155746e+00
8.5033968888e-02 9.9445647783e+00
8.6119545555e-02 9.9842814554e+00
8.7206208341e-02 1.0048246270e+01
8.8293958334e-02 1.0100900852e+01
8.9382796621e-02 1.0311533465e+01
9.0472724290e-02 1.0404372740e+01
9.1563742433e-02 1.0596259060e+01
9.2655852139e-02 1.0687026257e+01
9.3749054501e-02 1.1012848023e+01
9.4843350613e-02 1.1286815175e+01
9.5938741568e-02 1.1543122168e+01
9.7035228461e-02 1.1587509275e+01
9.8132812390e-02 1.1823982866e+01
9.9231494452e-02 1.1808465683e+01
1.0033127575e-01 1.1843350547e+01
1.0143215737e-01 1.1923343936e+01
1.0253414043e-01 1.2030784538e+01
1.0363722602e-01 1.2139839723e+01
1.0474141525e-01 1.2193798855e+01
1.0584670922e-01 1.2372737014e+01
1.0695310903e-01 1.2559914887e+01
1.0806061580e-01 1.2756085963e+01
1.0916923064e-01 1.3017074296e+01
1.1027895464e-01 1.3315956855e+01
1.1138978891e-01 1.3479374107e+01
1.1250173458e-01 1.3726350448e+01
1.1361479275e-01 1.3763320575e+01
1.1472896454e-01 1.3654413000e+01
1.1584425106e-01 1.3811895052e+01
1.1696065341e-01 1.3781950106e+01
1.1807817273e-01 1.3867803303e+01
1.1919681013e-01 1.3910352647e+01
1.2031656673e-01 1.3860156367e+01
1.2143744364e-01 1.3137725097e+01
1.2255944199e-01 1.1962861371e+01
1.2368256290e-01 9.5322772641e+00
1.2480680749e-01 6.7738389543e+00
1.2593217689e-01 6.2374080924e+00
1.2705867222e-01 5.1238878654e+00
1.2818629461e-01 5.1255837214e+00
1.2931504518e-01 5.7328380154e+00
1.3044492507e-01 5.5763647629e+00
1.3157593541e-01 5.7190273553e+00
1.3270807732e-01 5.9835483985e+00
1.3384135194e-01 6.1128631924e+00
1.3497576040e-01 5.8540598152e+00
1.3611130384e-01 6.0476264248e+00
1.3724798339e-01 5.9776619241e+00
1.3838580019e-01 5.5032818372e+00
1.3952475537e-01 4.7639492727e+00
1.4066485008e-01 4.6262513078e+00
1.4180608545e-01 4.6232110737e+00
1.4294846263e-01 4.8874309154e+00
1.4409198276e-01 5.2599073724e+00
1.4523664698e-01 5.9300394183e+00
1.4638245643e-01 6.3143773291e+00
1.4752941227e-01 6.3819034692e+00
1.4867751564e-01 6.5108187723e+00
1.4982676769e-01 6.9651462941e+00
1.5097716956e-01 6.8592127858e+00
1.5212872241e-01 7.0376697131e+00
1.5328142739e-01 7.2195266108e+00
1.5443528565e-01 7.4693932332e+00
1.5559029834e-01 7.9859684413e+00
1.5674646663e-01 7.9959626287e+00
1.5790379166e-01 8.2976523128e+00
1.5906227460e-01 8.2045025181e+00
1.6022191660e-01 8.6080076288e+00
1.6138271882e-01 8.8139876522e+00
1.6254468242e-01 8.9209439809e+00
1.6370780857e-01 9.1206619850e+00
1.6487209843e-01 9.1509216784e+00
1.6603755316e-01 9.5016540206e+00
1.6720417392e-01 9.7999840309e+00
1.6837196189e-01 1.0059661654e+01
1.6954091824e-01 1.0319862765e+01
