# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
96 5.73 1.13245 44.1484
97 5.79 1.04621 45.5781
98 5.85 0.952056 46.9062
99 5.91 0.965746 48.2812
100 5.97 0.941055 49.6484
600 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0.0846053 0.015625
37 2.19 0.0800332 0.03125
38 2.25 0.303288 0.09375
39 2.31 0.467574 0.195312
40 2.37 0.615047 0.335938
41 2.43 1.00759 0.578125
42 2.49 1.1763 0.875
43 2.55 1.6824 1.32031
44 2.61 1.88769 1.84375
45 2.67 1.99226 2.42188
46 2.73 1.8284 2.97656
47 2.79 1.84923 3.5625
48 2.85 2.76462 4.47656
49 2.91 2.40248 5.30469
50 2.97 2.43694 6.17969
51 3.03 2.06962 6.95312
52 3.09 1.68851 7.60938
53 3.15 1.56677 8.24219
54 3.21 1.49012 8.86719
55 3.27 1.56159 9.54688
56 3.33 1.09042 10.0391
57 3.39 1.03547 10.5234
58 3.45 0.806262 10.9141
59 3.51 0.763355 11.2969
60 3.57 0.707794 11.6641
61 3.63 0.699155 12.0391
62 3.69 0.606124 12.375
63 3.75 0.464048 12.6406
64 3.81 0.409881 12.8828
65 3.87 0.551053 13.2188
66 3.93 0.385233 13.4609
67 3.99 0.482238 13.7734
68 4.05 0.50316 14.1094
69 4.11 0.477214 14.4375
70 4.17 0.618107 14.875
71 4.23 0.611424 15.3203
72 4.29 0.677871 15.8281
73 4.35 0.760731 16.4141
74 4.41 0.819124 17.0625
75 4.47 0.787676 17.7031
76 4.53 1.05689 18.5859
77 4.59 1.02944 19.4688
78 4.65 1.11844 20.4531
79 4.71 1.10743 21.4531
80 4.77 1.03757 22.4141
81 4.83 1.36573 23.7109
82 4.89 1.14781 24.8281
83 4.95 1.07315 25.8984
84 5.01 1.34582 27.2734
85 5.07 1.32162 28.6562
86 5.13 1.42217 30.1797
87 5.19 1.23271 31.5312
88 5.25 1.19773 32.875
89 5.31 1.07552 34.1094
90 5.37 1.1448 35.4531
91 5.43 1.34748 37.0703
92 5.49 1.12078 38.4453
93 5.55 1.08421 39.8047
94 5.61 1.14043 41.2656
95 5.67 1.17015 42.7969
96 5.73 1.09316 44.2578
97 5.79 1.042 45.6797
98 5.85 1.0656 47.1641
99 5.91 0.939664 48.5
100 5.97 0.86702 49.7578
800 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0.0900793 0.015625
36 2.13 0.0850762 0.03125
37 2.19 0 0.03125
38 2.25 0.19061 0.0703125
39 2.31 0.397842 0.15625
40 2.37 0.721549 0.320312
41 2.43 0.882461 0.53125
42 2.49 1.61864 0.9375
43 2.55 1.30593 1.28125
44 2.61 2.20984 1.89062
45 2.67 2.27407 2.54688
46 2.73 2.01985 3.15625
47 2.79 2.38019 3.90625
48 2.85 2.09095 4.59375
49 2.91 2.14236 5.32812
50 2.97 1.85976 5.99219
51 3.03 1.66071 6.60938
52 3.09 1.8394 7.32031
53 3.15 1.8478 8.0625
54 3.21 1.55461 8.71094
55 3.27 1.46199 9.34375
56 3.33 1.06169 9.82031
57 3.39 0.957261 10.2656
58 3.45 1.00533 10.75
59 3.51 0.720608 11.1094
60 3.57 0.848023 11.5469
61 3.63 0.717694 11.9297
62 3.69 0.595324 12.2578
63 3.75 0.658773 12.6328
64 3.81 0.465345 12.9062
65 3.87 0.515461 13.2188
66 3.93 0.374881 13.4531
67 3.99 0.484922 13.7656
68 4.05 0.611859 14.1719
69 4.11 0.662678 14.625
70 4.17 0.677043 15.1016
