# source /gauss9/home/cityu/chefan/scratch/run/lammps/calc/DPA/3.1/DPA1_7ele_cry260226/straining/20_20_40/300K/nose_hoover/sxx_0_syy_0_szz_5.0e9_sxy_0_sxz_0_syz_0/Ta/bcc_001/stress_info.dat
# axis z
# fit_points 5
# l0 43.39008287584658
# strain stress
9.1097932829e-02 1.1667966480e+01
9.2189576493e-02 1.1732281817e+01
9.3282312346e-02 1.2039652742e+01
9.4376141482e-02 1.1995845020e+01
9.5471064994e-02 1.2250626278e+01
9.6567083977e-02 1.2221999806e+01
9.7664199527e-02 1.2613734121e+01
9.8762412742e-02 1.2340509583e+01
9.9861724719e-02 1.2824642679e+01
1.0096213656e-01 1.2744701729e+01
1.0206364936e-01 1.2952751412e+01
1.0316626422e-01 1.3039257595e+01
1.0426998226e-01 1.3210651484e+01
1.0537480456e-01 1.3237671065e+01
1.0648073223e-01 1.3433532269e+01
1.0758776639e-01 1.3563487300e+01
1.0869590813e-01 1.3444125258e+01
1.0980515858e-01 1.3725939779e+01
1.1091551882e-01 1.3602150337e+01
1.1202698998e-01 1.4034963778e+01
1.1313957317e-01 1.3599123564e+01
1.1425326950e-01 1.3977953330e+01
1.1536808008e-01 1.4063412438e+01
1.1648400603e-01 1.4279492143e+01
1.1760104847e-01 1.4181834788e+01
1.1871920850e-01 1.4581411331e+01
1.1983848726e-01 1.4351293354e+01
1.2095888585e-01 1.4522504705e+01
1.2208040540e-01 1.4514831584e+01
1.2320304704e-01 1.4612949357e+01
1.2432681187e-01 1.4390674105e+01
1.2545170103e-01 1.4787673531e+01
1.2657771565e-01 1.4389602445e+01
1.2770485684e-01 1.4790625231e+01
1.2883312574e-01 1.4349194305e+01
1.2996252347e-01 1.4613634217e+01
1.3109305116e-01 1.4253650108e+01
1.3222470995e-01 1.4341619660e+01
1.3335750096e-01 1.3544354948e+01
1.3449142533e-01 1.3086587438e+01
1.3562648419e-01 1.1753892994e+01
1.3676267867e-01 1.0440575703e+01
1.3790000992e-01 8.6735760583e+00
1.3903847907e-01 7.0803672747e+00
1.4017808726e-01 5.7758375145e+00
1.4131883563e-01 4.9886320048e+00
1.4246072531e-01 4.5440049380e+00
1.4360375746e-01 4.4635836519e+00
1.4474793321e-01 4.2641298556e+00
1.4589325371e-01 3.9426419592e+00
1.4703972010e-01 3.9929066842e+00
1.4818733353e-01 3.6770290773e+00
1.4933609515e-01 3.2262178586e+00
1.5048600610e-01 3.1267250671e+00
1.5163706754e-01 2.8219974871e+00
1.5278928062e-01 2.3396280330e+00
1.5394264649e-01 1.9025636389e+00
1.5509716630e-01 9.1343438422e-01
1.5625284121e-01 5.4960365875e-01
1.5740967237e-01 3.3855819865e-01
1.5856766094e-01 2.0745772025e-01
1.5972680808e-01 3.6468077526e-01
1.6088711494e-01 8.8126205292e-01
1.6204858269e-01 1.2006113875e+00
1.6321121249e-01 5.6782467437e-01
1.6437500551e-01 6.7384566600e-01
1.6553996289e-01 5.3914623901e-01
1.6670608582e-01 3.2861896962e-01
1.6787337545e-01 5.6943153711e-01
1.6904183296e-01 4.6616720522e-01
1.7021145951e-01 6.8010719319e-01
1.7138225627e-01 5.2270176009e-01
1.7255422441e-01 8.0323038435e-01
1.7372736511e-01 7.6578970469e-01
1.7490167953e-01 7.0229819761e-01
1.7607716886e-01 7.8546838276e-01
1.7725383426e-01 8.0056323184e-01
1.7843167692e-01 1.1172981468e+00
1.7961069801e-01 8.6098494312e-01
1.8079089871e-01 6.8357718652e-01
1.8197228020e-01 9.0465729392e-01
1.8315484366e-01 6.5953332021e-01
1.8433859028e-01 9.3598786536e-01
1.8552352124e-01 7.6413669446e-01
1.8670963772e-01 1.0699162840e+00
1.8789694091e-01 1.3256945287e+00
1.8908543200e-01 1.1059966986e+00
1.9027511217e-01 9.7528748049e-01
1.9146598262e-01 6.3189073567e-01
1.9265804453e-01 5.2380401678e-01
1.9385129911e-01 5.4007905977e-01
1.9504574753e-01 5.9280003595e-01
1.9624139100e-01 7.3456511858e-01
1.9743823071e-01 6.1355075048e-01
1.9863626786e-01 7.9545265049e-01
1.9983550365e-01 4.4812541730e-01
2.0103593927e-01 5.9744477902e-01
2.0223757592e-01 4.4920339766e-01
2.0344041482e-01 1.1435348943e-01
2.0464445715e-01 5.9874379648e-01
2.0584970414e-01 4.9353549116e-01
2.0705615697e-01 5.0835869504e-01
2.0826381685e-01 2.5751853245e-01
2.0947268500e-01 3.2144811447e-01
2.1068276262e-01 2.6031535079e-01
2.1189405093e-01 1.5217953070e-01
2.1310655113e-01 1.3211997570e-01
2.1432026444e-01 -3.8909632665e-01
2.1553519206e-01 -3.6123181078e-01
2.1675133523e-01 -4.9550319094e-01
2.1796869514e-01 -6.3487239973e-01
2.1918727302e-01 -7.3258075895e-01
