# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.0410366 0.0078125
38 2.25 0.116632 0.03125
39 2.31 0.18442 0.0703125
40 2.37 0.700804 0.226562
41 2.43 0.933276 0.445312
42 2.49 1.33326 0.773438
43 2.55 1.48314 1.15625
44 2.61 1.84913 1.65625
45 2.67 2.04304 2.23438
46 2.73 2.05986 2.84375
47 2.79 1.92165 3.4375
48 2.85 2.6897 4.30469
49 2.91 1.71995 4.88281
50 2.97 2.40981 5.72656
51 3.03 2.37963 6.59375
52 3.09 1.73155 7.25
53 3.15 1.78523 7.95312
54 3.21 1.56631 8.59375
55 3.27 1.49095 9.22656
56 3.33 1.36671 9.82812
57 3.39 1.02761 10.2969
58 3.45 1.10793 10.8203
59 3.51 0.83074 11.2266
60 3.57 0.648618 11.5547
61 3.63 0.672165 11.9062
62 3.69 0.563753 12.2109
63 3.75 0.489872 12.4844
64 3.81 0.596596 12.8281
65 3.87 0.407397 13.0703
66 3.93 0.356822 13.2891
67 3.99 0.543983 13.6328
68 4.05 0.563984 14
69 4.11 0.594245 14.3984
70 4.17 0.384845 14.6641
71 4.23 0.583008 15.0781
72 4.29 0.55612 15.4844
73 4.35 0.728114 16.0312
74 4.41 0.688195 16.5625
75 4.47 0.827455 17.2188
76 4.53 1.16056 18.1641
77 4.59 1.02766 19.0234
78 4.65 1.12875 19.9922
79 4.71 1.01145 20.8828
80 4.77 1.09862 21.875
81 4.83 1.004 22.8047
82 4.89 1.06183 23.8125
83 4.95 1.36559 25.1406
84 5.01 1.19977 26.3359
85 5.07 1.31702 27.6797
86 5.13 1.37615 29.1172
87 5.19 1.16914 30.3672
88 5.25 1.24255 31.7266
89 5.31 1.26349 33.1406
90 5.37 1.09208 34.3906
91 5.43 1.26167 35.8672
92 5.49 1.16894 37.2656
93 5.55 1.08629 38.5938
94 5.61 1.2508 40.1562
95 5.67 1.18773 41.6719
96 5.73 1.13301 43.1484
97 5.79 0.998101 44.4766
98 5.85 1.0525 45.9062
99 5.91 0.957981 47.2344
100 5.97 0.977479 48.6172
1000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.164169 0.03125
38 2.25 0.349943 0.101562
39 2.31 0.553336 0.21875
40 2.37 0.49063 0.328125
41 2.43 0.900068 0.539062
42 2.49 1.01596 0.789062
43 2.55 1.15035 1.08594
44 2.61 1.56041 1.50781
45 2.67 2.209 2.13281
46 2.73 1.9545 2.71094
47 2.79 2.09894 3.35938
48 2.85 2.32655 4.10938
49 2.91 2.41756 4.92188
50 2.97 2.27624 5.71875
51 3.03 2.31564 6.5625
52 3.09 1.81425 7.25
53 3.15 1.76564 7.94531
54 3.21 1.71936 8.64844
55 3.27 1.45434 9.26562
56 3.33 1.22488 9.80469
57 3.39 1.13052 10.3203
58 3.45 1.09154 10.8359
59 3.51 1.00661 11.3281
60 3.57 0.648707 11.6562
61 3.63 0.597562 11.9688
62 3.69 0.433716 12.2031
63 3.75 0.419948 12.4375
64 3.81 0.420387 12.6797
65 3.87 0.57832 13.0234
66 3.93 0.369616 13.25
67 3.99 0.605882 13.6328
68 4.05 0.516056 13.9688
69 4.11 0.477792 14.2891
70 4.17 0.611308 14.7109
71 4.23 0.638096 15.1641
72 4.29 0.684549 15.6641
73 4.35 0.676198 16.1719
74 4.41 0.819874 16.8047
75 4.47 0.729048 17.3828
76 4.53 0.901719 18.1172
77 4.59 1.18664 19.1094
78 4.65 0.928612 19.9062
79 4.71 1.19793 20.9609
80 4.77 0.986299 21.8516
81 4.83 0.945071 22.7266
82 4.89 0.996112 23.6719
83 4.95 1.47022 25.1016
84 5.01 1.19209 26.2891
85 5.07 1.20233 27.5156
86 5.13 1.48854 29.0703
87 5.19 1.23507 30.3906
88 5.25 1.35699 31.875
89 5.31 1.08912 33.0938
90 5.37 1.05127 34.2969
91 5.43 1.28854 35.8047
92 5.49 1.14297 37.1719
93 5.55 1.09283 38.5078
94 5.61 1.11962 39.9062
95 5.67 1.16952 41.3984
96 5.73 1.0912 42.8203
97 5.79 1.0276 44.1875
98 5.85 1.0699 45.6406
99 5.91 1.05956 47.1094
100 5.97 1.07703 48.6328
1200 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.0408949 0.0078125
38 2.25 0.116229 0.03125
39 2.31 0.257297 0.0859375
40 2.37 0.768224 0.257812
41 2.43 0.930054 0.476562
42 2.49 1.07558 0.742188
43 2.55 1.26688 1.07031
44 2.61 2.15946 1.65625
45 2.67 2.39367 2.33594
46 2.73 2.13171 2.96875
47 2.79 2.41897 3.71875
48 2.85 1.90768 4.33594
49 2.91 2.1541 5.0625
50 2.97 2.20137 5.83594
51 3.03 1.90141 6.53125
52 3.09 1.95154 7.27344
53 3.15 1.71977 7.95312
54 3.21 1.59897 8.60938
55 3.27 1.68758 9.32812
56 3.33 1.2028 9.85938
57 3.39 1.28008 10.4453
58 3.45 0.626209 10.7422
59 3.51 0.907476 11.1875
60 3.57 0.800279 11.5938
61 3.63 0.744272 11.9844
62 3.69 0.590618 12.3047
63 3.75 0.348701 12.5
64 3.81 0.337805 12.6953
65 3.87 0.510762 13
66 3.93 0.507986 13.3125
67 3.99 0.579067 13.6797
68 4.05 0.53812 14.0312
69 4.11 0.580582 14.4219
70 4.17 0.541435 14.7969
71 4.23 0.526185 15.1719
72 4.29 0.650119 15.6484
73 4.35 0.7256 16.1953
74 4.41 0.806847 16.8203
75 4.47 0.795149 17.4531
76 4.53 0.936717 18.2188
77 4.59 0.837907 18.9219
78 4.65 1.07949 19.8516
