# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
94 5.61 0.883403 47.9062
95 5.67 0.984629 49.3828
96 5.73 0.831486 50.6562
97 5.79 0.784367 51.8828
98 5.85 0.880923 53.2891
99 5.91 0.805585 54.6016
100 5.97 0.780075 55.8984
800 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0.0395336 0.0078125
36 2.13 0.0373378 0.015625
37 2.19 0.0706402 0.03125
38 2.25 0.301154 0.101562
39 2.31 0.412698 0.203125
40 2.37 0.965089 0.453125
41 2.43 1.49178 0.859375
42 2.49 2.15846 1.47656
43 2.55 1.79757 2.01562
44 2.61 2.56138 2.82031
45 2.67 2.56637 3.66406
46 2.73 2.84122 4.64062
47 2.79 2.67681 5.60156
48 2.85 2.12731 6.39844
49 2.91 2.18053 7.25
50 2.97 1.38274 7.8125
51 3.03 1.86363 8.60156
52 3.09 1.29518 9.17188
53 3.15 1.28045 9.75781
54 3.21 1.00287 10.2344
55 3.27 0.887192 10.6719
56 3.33 0.70274 11.0312
57 3.39 0.60438 11.3516
58 3.45 0.569309 11.6641
59 3.51 0.46751 11.9297
60 3.57 0.438636 12.1875
61 3.63 0.475681 12.4766
62 3.69 0.55987 12.8281
63 3.75 0.602331 13.2188
64 3.81 0.361776 13.4609
65 3.87 0.418512 13.75
66 3.93 0.581326 14.1641
67 3.99 0.563974 14.5781
68 4.05 0.671325 15.0859
69 4.11 0.742126 15.6641
70 4.17 0.701439 16.2266
71 4.23 1.05093 17.0938
72 4.29 0.994121 17.9375
73 4.35 0.984792 18.7969
74 4.41 0.86236 19.5703
75 4.47 0.966541 20.4609
76 4.53 1.18051 21.5781
77 4.59 1.27046 22.8125
78 4.65 1.1282 23.9375
79 4.71 1.29055 25.2578
80 4.77 1.20617 26.5234
81 4.83 1.10378 27.7109
82 4.89 1.30356 29.1484
83 4.95 1.32746 30.6484
84 5.01 1.19462 32.0312
85 5.07 1.1731 33.4219
86 5.13 1.30675 35.0078
87 5.19 1.1698 36.4609
88 5.25 1.22926 38.0234
89 5.31 1.15958 39.5312
90 5.37 1.23956 41.1797
91 5.43 1.06293 42.625
92 5.49 1.06793 44.1094
93 5.55 1.16046 45.7578
94 5.61 0.920457 47.0938
95 5.67 0.99066 48.5625
96 5.73 0.990661 50.0625
97 5.79 0.904543 51.4609
98 5.85 0.886083 52.8594
99 5.91 0.873034 54.2656
100 5.97 0.846067 55.6562
1000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.174609 0.0390625
38 2.25 0.165422 0.078125
39 2.31 0.470821 0.195312
40 2.37 1.2524 0.523438
41 2.43 1.33314 0.890625
42 2.49 2.13413 1.50781
43 2.55 2.29246 2.20312
44 2.61 2.45874 2.98438
45 2.67 3.00734 3.98438
46 2.73 2.29229 4.78125
47 2.79 2.77573 5.78906
48 2.85 2.39202 6.69531
49 2.91 1.87904 7.4375
50 2.97 1.68996 8.13281
51 3.03 1.2953 8.6875
52 3.09 1.19286 9.21875
53 3.15 1.16474 9.75781
54 3.21 1.05658 10.2656
55 3.27 0.736212 10.6328
56 3.33 0.785446 11.0391
57 3.39 0.553842 11.3359
58 3.45 0.576963 11.6562
59 3.51 0.638978 12.0234
60 3.57 0.538828 12.3438
61 3.63 0.495741 12.6484
62 3.69 0.393641 12.8984
63 3.75 0.452611 13.1953
64 3.81 0.58847 13.5938
65 3.87 0.547997 13.9766
66 3.93 0.401256 14.2656
67 3.99 0.589179 14.7031
68 4.05 0.622909 15.1797
69 4.11 0.832915 15.8359
70 4.17 0.857281 16.5312
71 4.23 0.908023 17.2891
72 4.29 0.901003 18.0625
73 4.35 1.00024 18.9453
74 4.41 0.9646 19.8203
75 4.47 1.20713 20.9453
76 4.53 1.07742 21.9766
77 4.59 1.08124 23.0391
78 4.65 1.29365 24.3438
79 4.71 1.276 25.6641
80 4.77 1.22938 26.9688
81 4.83 1.17749 28.25
82 4.89 1.13476 29.5156
83 4.95 1.08691 30.7578
84 5.01 1.43473 32.4375
85 5.07 1.25762 33.9453
86 5.13 1.27929 35.5156
87 5.19 1.15661 36.9688
88 5.25 1.30048 38.6406
89 5.31 1.17027 40.1797
90 5.37 1.17331 41.7578
91 5.43 1.23273 43.4531
92 5.49 1.10035 45
93 5.55 0.913549 46.3125
94 5.61 1.04845 47.8516
95 5.67 0.943021 49.2656
96 5.73 0.882563 50.6172
97 5.79 0.739458 51.7734
98 5.85 0.915248 53.2344
99 5.91 0.839213 54.6016
100 5.97 0.798931 55.9297
1200 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0.0368721 0.0078125
37 2.19 0.0348795 0.015625
38 2.25 0.39653 0.109375
39 2.31 0.72105 0.289062
40 2.37 1.19131 0.601562
41 2.43 1.61483 1.04688
42 2.49 1.83474 1.57812
43 2.55 1.90378 2.15625
44 2.61 2.4312 2.92969
45 2.67 2.48743 3.75781
46 2.73 2.94045 4.78125
47 2.79 2.34254 5.63281
48 2.85 2.4715 6.57031
49 2.91 2.27186 7.46875
50 2.97 1.46032 8.07031
51 3.03 1.58528 8.75
52 3.09 1.15638 9.26562
53 3.15 1.14646 9.79688
54 3.21 0.828006 10.1953
55 3.27 0.954351 10.6719
56 3.33 0.693974 11.0312
57 3.39 0.65507 11.3828
58 3.45 0.646539 11.7422
59 3.51 0.488836 12.0234
60 3.57 0.511922 12.3281
61 3.63 0.520531 12.6484
62 3.69 0.479168 12.9531
63 3.75 0.475854 13.2656
64 3.81 0.530133 13.625
65 3.87 0.603183 14.0469
66 3.93 0.498253 14.4062
67 3.99 0.67253 14.9062
68 4.05 0.53036 15.3125
